country,city_slug,category_key,n
CA,colleyville,ingenieria,2
CA,collierville,ingenieria,1
CA,collingwood,carpinteria,35
CA,collingwood,ingenieria,8
CA,collins,ingenieria,1
CA,collinsville,ingenieria,1
CA,colonsay,hvac,3
CA,colonsay,electricidad,2
CA,colonsay,ingenieria,1
CA,colorado-springs,ingenieria,4
CA,colts-neck,ingenieria,1
CA,columbia,ingenieria,1
CA,columbia-falls,ingenieria,1
CA,columbus,ingenieria,2
CA,colwood,ingenieria,1
CA,commerce-city,ingenieria,1
CA,como,ingenieria,2
CA,comox,ingenieria,16
CA,conakry,ingenieria,1
CA,conception-bay-south,ingenieria,6
CA,concon,ingenieria,1
CA,concord,ingenieria,22
CA,concord,electricidad,4
CA,concord,medicina,1
CA,concord-township,ingenieria,1
CA,conestogo,ingenieria,1
CA,conquest,hvac,4
CA,conroe,ingenieria,15
CA,consort,ingenieria,2
CA,consort,electricidad,2
CA,consul,ingenieria,1
CA,contoocook,ingenieria,1
CA,cooking-lake,ingenieria,4
CA,cooks-creek,ingenieria,1
CA,cookstown,electricidad,2
CA,cooperstown,ingenieria,1
CA,coppell,ingenieria,1
CA,copper-cliff,ingenieria,1
CA,coquitlam,electricidad,671
CA,coquitlam,ingenieria,148
CA,coquitlam,hvac,115
CA,coquitlam,arquitecto,21
CA,coquitlam,carpinteria,6
CA,coquitlam,medicina,1
CA,coquitlam,mecanica,1
CA,corbeil,ingenieria,2
CA,corcoran,ingenieria,1
CA,corman-park,hvac,6
CA,corman-park,ingenieria,3
CA,corner-brook,medicina,7
CA,corner-brook,ingenieria,2
CA,cornwall,ingenieria,4
CA,cornwall,medicina,1
CA,cornwall-pe,carpinteria,13
CA,coronach,electricidad,5
CA,coronach,hvac,4
CA,coronach,ingenieria,1
CA,coronation,ingenieria,2
CA,corpus-christi,ingenieria,3
CA,corsier-ge,ingenieria,1
CA,corunca,ingenieria,1
CA,corunna,ingenieria,2
CA,costa-mesa,ingenieria,2
CA,cote-saint-luc,ingenieria,4
CA,cote-st-luc,medicina,2
CA,cote-st-luc,ingenieria,1
CA,coto-de-caza,ingenieria,1
CA,cottonwood-heights,ingenieria,1
CA,country-club-hills,ingenieria,1
CA,country-of-cypress-empress,electricidad,2
CA,county-mayo,ingenieria,1
CA,county-of-grande-prairie,ingenieria,5
CA,county-of-grande-prairie-no-1,ingenieria,22
CA,county-of-wetaskiwin,ingenieria,1
CA,courtenay,ingenieria,28
CA,courtice,ingenieria,2
CA,cowansville,ingenieria,1
CA,cowichan-bay,ingenieria,4
CA,coxheath,medicina,2
CA,coxheath,ingenieria,1
CA,craik,hvac,2
CA,cranbrook,ingenieria,21
CA,craven,electricidad,8
CA,craven,hvac,2
CA,craven,ingenieria,1
CA,cream-ridge,ingenieria,1
CA,creighton,electricidad,8
CA,cremona,ingenieria,7
CA,cresson,ingenieria,1
CA,creston,ingenieria,4
CA,crofton,ingenieria,1
CA,crooked-creek,ingenieria,1
CA,crossfield,ingenieria,32
CA,crystal-springs,ingenieria,1
CA,cudworth,hvac,8
CA,cudworth,electricidad,2
CA,cumberland,ingenieria,3
CA,cumberland,medicina,1
CA,cumberland-house,electricidad,6
CA,cumming,ingenieria,3
CA,cupertino,ingenieria,1
CA,currambine,ingenieria,1
CA,curtin,ingenieria,1
CA,cut-knife,hvac,3
CA,cut-knife,electricidad,2
CA,cutknife,electricidad,2
CA,cuyahoga-falls,ingenieria,1
CA,cypress,ingenieria,35
CA,cypress-county,ingenieria,6
CA,cypress-river,electricidad,2
CA,daisytown,ingenieria,1
CA,dalemead,ingenieria,1
CA,dalhousie,ingenieria,1
CA,dallas,hvac,40
CA,dallas,ingenieria,6
CA,dalmeny,hvac,10
CA,dalmeny,electricidad,2
CA,dalmeny,ingenieria,1
CA,dalton,ingenieria,1
CA,daly-city,ingenieria,1
CA,dammam,medicina,1
CA,dammam,ingenieria,1
CA,danville,ingenieria,3
CA,darfield,ingenieria,1
CA,dartmouth,medicina,338
CA,dartmouth,ingenieria,34
CA,darwell,ingenieria,2
CA,davenport,ingenieria,1
CA,davidson,hvac,6
CA,davidson,electricidad,6
CA,davis,ingenieria,1
CA,dawesville,ingenieria,1
CA,dawson-creek,ingenieria,10
CA,daysland,ingenieria,1
CA,dayton,ingenieria,2
CA,dayton,medicina,1
CA,de-pere,ingenieria,2
CA,de-soto,ingenieria,1
CA,de-winton,ingenieria,3
CA,dead-man-s-flats,ingenieria,3
CA,dearborn,ingenieria,1
